Question,implicit_zero_shot,explicit_zero_shot,auto_cot
how to fix tv that goes off in a few minutes after turned on,how to fix tv that goes off in a few minutes after turned on,"how to fix tv that goes off in a few minutes after turned on
Let's think step by step.","Q: how to fix tv that goes off in a few minutes after turned on
Let's think step by step.

A: this is a simple problem. You have a tv that goes off in a few minutes after turned on.

In your house, the power went off in the evening.

After a couple of hours, the power went off again.

This is a simple problem. The first step is to find out where the power went off.

The power went off in the room where you are.

The power went off in your house.

The power went off in your room.

The power went off in the kitchen.

The power went off in the basement.

This is a simple problem. The second step is to find out which room the power went off in."
What song performed by Lea Salonga was written for a 1998 film directed by Tony Bancroft and Barry Cook?,What song performed by Lea Salonga was written for a 1998 film directed by Tony Bancroft and Barry Cook?,"What song performed by Lea Salonga was written for a 1998 film directed by Tony Bancroft and Barry Cook?
Let's think step by step.","Q: What song performed by Lea Salonga was written for a 1998 film directed by Tony Bancroft and Barry Cook?
Let's think step by step.
A. ""I Don't Want to Miss a Thing""
B. ""You've Got a Friend in Me""
C. ""When a Man Loves a Woman""
D. ""It's Only Make Believe""

Q. What song performed by Lea Salonga was written for a 1998 film directed by Tony Bancroft and Barry Cook?
A. ""I Don't Want to Miss a Thing""
B. ""You've Got a Friend in Me""
C. ""When a Man Loves a Woman""
D. ""It's Only Make Believe""

Q. What song performed by Lea Salonga was written for a 1998 film directed by Tony Bancroft and Barry"
what ethnicity is steve perry,what ethnicity is steve perry,"what ethnicity is steve perry
Let's think step by step.","Q: what ethnicity is steve perry
Let's think step by step.
Step 1: Steve Perry is a white guy who is a member of the
  Republican party.
Step 2: Steve Perry is a white guy who is a member of the
  Democratic party.
Step 3: Steve Perry is a white guy who is a member of the
  independent party.
Step 4: Steve Perry is a white guy who is a member of the
  Green party.
Step 5: Steve Perry is a white guy who is a member of the
  Libertarian party.
Step 6: Steve Perry is a white guy who is a member of the
  Socialist party.
Step 7: Steve Perry is a white guy who is a member of the
  Progressive party.
Step 8"
"Which author has used more pseudonyms, W. E. B. Griffin or Piers Anthony? ","Which author has used more pseudonyms, W. E. B. Griffin or Piers Anthony? ","Which author has used more pseudonyms, W. E. B. Griffin or Piers Anthony? 
Let's think step by step.","Q: Which author has used more pseudonyms, W. E. B. Griffin or Piers Anthony? 
Let's think step by step. The pseudonyms are:

W. E. B. Griffin, who wrote under his pen-name, W. E. B. Griffin, and who was a prolific writer of science fiction and fantasy in the 1920s.
Piers Anthony, who wrote under his pen-name, Piers Anthony.

The pseudonyms are used to distinguish their works from those of their original authors, and to avoid confusion.

W. E. B. Griffin, the pseudonym of W. E. B. Griffin, who wrote science fiction and fantasy, including the short story ""The Man Who Fell from the Sky"" and the novel The Man Who Fell from the Sky. 
Piers Anthony, the pseudonym of Piers"
What 2014 American 3D computer-animated musical fantasy adventure comedy film features a song recorded by British singer Leah McFall?,What 2014 American 3D computer-animated musical fantasy adventure comedy film features a song recorded by British singer Leah McFall?,"What 2014 American 3D computer-animated musical fantasy adventure comedy film features a song recorded by British singer Leah McFall?
Let's think step by step.","Q: What 2014 American 3D computer-animated musical fantasy adventure comedy film features a song recorded by British singer Leah McFall?
Let's think step by step.

1. It's a musical fantasy film

2. It's about a girl named Leah, who lives in a magical world

3. It's about a boy named Jason, who lives in a magical world

4. It's about a girl named Leah, who lives in a magical world

5. It's about a boy named Jason, who lives in a magical world

6. It's about a girl named Leah, who lives in a magical world

7. It's about a boy named Jason, who lives in a magical world

8. It's about a girl named Leah, who lives in a magical world

9. It's about a boy named Jason, who lives"
who co-founder of working place of Joseph armstrong ?,who co-founder of working place of Joseph armstrong ?,"who co-founder of working place of Joseph armstrong ?
Let's think step by step.","Q: who co-founder of working place of Joseph armstrong ?
Let's think step by step.
First of all, we should know that in the Bible, Joseph's working place is a very important place for the patriarchs and the prophets.

The Holy Spirit will come upon them, and they will go out, and they will be at the place of Jacob's well. And the people of Israel will come and will pitch up, and they will go out and will pitch up against the land of Egypt, and they will go out and they will pitch up against the land of Canaan, and they will go out and they will pitch up against the land of the Philistines. And the people of Israel will go out and they will pitch up against the land of the Hittites, and they will go out and they will"
what is a collision domain,what is a collision domain,"what is a collision domain
Let's think step by step.","Q: what is a collision domain
Let's think step by step.

A collision domain is the part of a space that contains all the points that are colliding with each other.

A collision domain is not a space, it is a set of points that contains all the points that are colliding with each other.

The domain of a collision is a set of points, called the collision domain, that are colliding with each other.

If the domain of a collision is a set of points, then the intersection of the domain of a collision with a collision domain is the domain of a collision.

A domain of a collision is the set of all the points that are colliding with each other.

If the domain of a collision is a set of points, then"
what foods contain protein other than meat,what foods contain protein other than meat,"what foods contain protein other than meat
Let's think step by step.","Q: what foods contain protein other than meat
Let's think step by step.

Protein is an essential part of the body. It is needed for proper functioning of the body and for the body to produce and maintain healthy tissues.

Protein is also used for the formation of blood, milk, eggs, and the growth and development of the child.

Protein is used to make hormones, antibodies, and to provide energy for the body.

Protein is used for muscle growth, and for the body's detoxification process.

Protein is used in the manufacture of tissue and bone.

Protein is used for the development of the brain and nervous system.

Protein is used for the growth of the hair, nails, skin, and eyes.

P"
how much lpn make an hour in ny,how much lpn make an hour in ny,"how much lpn make an hour in ny
Let's think step by step.","Q: how much lpn make an hour in ny
Let's think step by step.
1) 1) In one hour, the number of lpn is 1
2) In one hour, the number of lpn is 1
3) In one hour, the number of lpn is 0
4) In one hour, the number of lpn is 1
5) In one hour, the number of lpn is 0
6) In one hour, the number of lpn is 0
7) In one hour, the number of lpn is 0
8) In one hour, the number of lpn is 0
9) In one hour, the number of lpn is 0
10) In one hour, the number of lpn is 0
11) In one hour, the"
"""Who is the sunsidiary entities  of Islamic Azad Universpty who is in the department of Bukan?""","""Who is the sunsidiary entities  of Islamic Azad Universpty who is in the department of Bukan?""","""Who is the sunsidiary entities  of Islamic Azad Universpty who is in the department of Bukan?""
Let's think step by step.","Q: ""Who is the sunsidiary entities  of Islamic Azad Universpty who is in the department of Bukan?""
Let's think step by step.

I was searching for a topic to solve the problem about the sunsidiary entities of Islamic Azad Universpty.
The sunsidiary entities of Islamic Azad Universpty is the Islamic Azad University.
In Islamic Azad University, the department of Bukan is the department of Islamic Azad University.
In Islamic Azad University, the department of Bukan is the department of Islamic Azad University.
The Islamic Azad University is the Islamic Azad University.

The Islamic Azad University is the Islamic Azad University.

The Islamic Azad University is the Islamic Azad University.

The Islamic Azad University is the Islamic Azad University.

The Islamic Azad University is the"
